,id,title,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_bars,num_sections,num_segments
0,6Qn5zhYkTa37e91HC1D7lb,Whatever It Takes,0.672,0.655,10,-5.021,0,0.0362,0.0,0.117,0.556,134.945,201240,4,112,8,756
1,1zB4vmk8tFRmM9UULNzbLB,Thunder,0.605,0.822,0,-4.833,1,0.00671,0.134,0.147,0.288,167.997,187147,4,128,10,614
2,7qiZfU4dY1lWllzX7mPBI3,Shape of You,0.825,0.652,1,-3.183,0,0.581,0.0,0.0931,0.931,95.977,233713,4,92,9,1062
3,2tpWsVSb9UEmDRxAl1zhX1,Counting Stars,0.664,0.705,1,-4.972,0,0.0654,0.0,0.118,0.477,122.016,257267,4,129,8,1001
4,5qaEfEh1AtSdrdrByCP7qR,Demons,0.505,0.71,3,-3.015,1,0.19,0.00025,0.269,0.428,89.938,177507,4,65,9,571
5,5xS9R5yNeVsB9shSR60eX3,If I Lose Myself,0.491,0.688,2,-6.05,1,0.0849,0.0,0.111,0.279,140.072,241653,4,142,13,815
6,4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,0.704,0.797,0,-5.927,1,0.0826,0.000745,0.0546,0.825,139.994,148486,4,83,7,592
7,5r43qanLhUCdBj8HN3fa6B,Sunshine,0.697,0.875,5,-4.621,1,0.137,0.0,0.28,0.774,140.069,163855,4,92,8,661
8,0sBJA2OCEECMs0HsdIQhvR,West Coast,0.685,0.699,6,-7.803,0,0.317,0.0,0.0895,0.884,134.057,192948,4,105,9,741
9,6KL88T4Ma4ABXqzgUoEwkd,Run,0.682,0.72,11,-8.176,0,0.321,0.0,0.205,0.649,116.988,168260,4,80,11,677
10,6aDsgHPZsMztSbZernzlF8,Someday,0.576,0.679,0,-7.237,1,0.0311,0.0,0.323,0.213,121.005,187889,4,91,8,689
11,1NhPKVLsHhFUHIOZ32QnS2,Secrets,0.516,0.764,2,-6.223,1,0.0717,0.0,0.115,0.376,148.021,224693,4,135,11,745
12,1sgDyuLooyvEML4oHspNza,Lose Somebody,0.58,0.586,1,-6.883,1,0.344,0.0,0.0755,0.507,147.988,199549,4,120,10,722
13,2Rk4JlNc2TPmZe2af99d45,ME! (feat. Brendon Urie of Panic! At The Disco),0.61,0.83,0,-4.105,1,0.033,0.0,0.118,0.728,182.162,193000,4,143,9,775
14,6RRNNciQGZEXnqk8SQ9yv5,You Need To Calm Down,0.771,0.671,2,-5.617,1,0.00929,0.0,0.0637,0.714,85.026,171360,4,59,9,658
15,1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,0.76,0.703,5,-5.412,1,0.103,0.0,0.0913,0.57,95.997,231827,4,91,11,848
16,1dGr1c8CrMLDpV6mPbImSI,Lover,0.359,0.543,7,-7.582,1,0.492,1.58e-05,0.118,0.453,68.534,221307,4,102,11,635
17,4y5bvROuBDPr5fuwXbIBZR,Paper Rings,0.811,0.719,9,-6.553,1,0.0129,1.36e-05,0.0742,0.865,103.979,222400,4,95,9,942
18,3IQF4xCQUPicbA4hWfTxPo,I Lived,0.593,0.851,9,-5.456,1,0.0683,0.0,0.271,0.344,119.987,234547,4,116,14,833
19,0pqnGHJpmpxLKifKRmU6WP,Believer,0.776,0.78,10,-4.374,0,0.0622,0.0,0.081,0.666,124.949,204347,4,104,8,749
20,2FY7b99s15jUprqC0M5NCT,Natural,0.704,0.611,2,-6.112,1,0.217,0.0,0.0812,0.22,100.0,189467,4,76,10,620
21,3zT2616WcD9Df5m21OsCX0,Rise Up,0.447,0.74,3,-6.607,1,0.0122,0.000228,0.0958,0.102,93.759,231720,4,87,10,763
22,2B1fuWoWaYnCXbjYp1gXg5,Boomerang,0.429,0.559,2,-7.493,1,0.139,0.00928,0.121,0.347,100.073,187800,4,70,11,714
23,1y3bE5i57eUm3hfLAc7h08,Walking The Wire,0.54,0.761,4,-5.339,1,0.0163,0.0,0.0941,0.147,100.008,232907,4,96,10,718
24,60EFFQmSfrNMPUMGnfxBbO,Levitate - From The Original Motion Picture “Passengers”,0.403,0.682,11,-5.476,1,0.0307,0.0,0.186,0.233,79.841,198173,4,65,7,684
25,2RSHsoi04658QL5xgQVov3,Bad Liar,0.383,0.637,3,-6.993,1,0.0722,0.0,0.368,0.0827,177.913,260773,4,183,10,852
26,4GITtbZtRCQXhWLMXrWXHt,Roots,0.637,0.887,7,-5.444,0,0.707,0.00188,0.326,0.596,157.759,174507,4,113,9,641
27,2bzitsPcImYC6DZWvvLCQi,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",0.634,0.662,6,-7.543,1,0.000479,0.00142,0.111,0.244,90.011,210933,4,78,11,881
28,3T4UodGkfZObJ43RtA5KFU,Connection,0.611,0.602,5,-4.89,1,0.000837,0.0,0.112,0.624,168.154,148460,4,99,7,543
29,1Nj2oBISdFDSF8eDuXcALz,Start Again (feat. Logic),0.564,0.722,1,-5.59,0,0.162,0.0,0.0931,0.276,99.083,165627,4,66,8,617
30,2dpaYNEQHiRxtZbfNsse99,Happier,0.687,0.792,5,-2.749,1,0.191,0.0,0.167,0.671,100.015,214290,4,88,9,789
31,4uGY9CqDtGtaTTLg1cgsWD,Machine,0.638,0.679,4,-5.278,1,0.0016,0.00655,0.121,0.596,81.045,181880,4,60,6,586
32,1dekgAFF9uTCqLsklDaCWb,Mouth Of The River,0.483,0.907,8,-7.015,1,0.00183,0.0509,0.152,0.296,96.014,221560,4,87,9,1144
33,37R0bQOQj5a7DOqh1TGzvB,One Call Away,0.667,0.613,1,-5.353,1,0.403,0.0,0.115,0.47,91.024,194453,4,69,8,600
34,06KyNuuMOX1ROXRhj787tj,We Don't Talk Anymore (feat. Selena Gomez),0.728,0.563,1,-8.053,0,0.621,0.0,0.179,0.352,100.017,217707,4,89,10,1073
35,66CFbqJScx6zRieGllITcs,See You Again (feat. Charlie Puth),0.689,0.481,10,-7.503,1,0.369,1.03e-06,0.0649,0.283,80.025,229526,4,76,10,861
36,5cF0dROlMOK5uNZtivgu50,Attention,0.775,0.613,3,-4.586,0,0.109,2.33e-05,0.134,0.797,100.066,208787,4,85,8,923
37,3zHq9ouUJQFQRf3cm1rRLu,"Love Me Like You Do - From ""Fifty Shades Of Grey""",0.262,0.606,8,-6.646,1,0.247,0.0,0.125,0.275,189.857,252534,4,194,10,771
38,1GEBsLDvJGw7kviySRI6GX,You Belong With Me,0.687,0.745,6,-4.432,1,0.178,1.59e-05,0.111,0.435,129.966,232120,4,123,10,736
39,6kISMRfweKSvgHR0urMQFG,We Are Never Ever Getting Back Together,0.628,0.676,7,-5.911,1,0.00957,2.65e-05,0.121,0.75,85.984,193147,4,68,7,700
40,0mjAU3yKR1QnXnHtjGJqTM,Rescue Me,0.759,0.605,7,-7.737,1,0.156,0.0,0.694,0.64,121.049,158900,4,80,8,629
41,5mQNY6pTeSDl2doFB7uLbE,Kids,0.596,0.732,2,-6.189,1,0.0153,0.0,0.318,0.228,99.98,238387,4,99,9,924
42,2yLa0QULdQr0qAIvVwN6B5,...Ready For It?,0.613,0.764,2,-6.509,1,0.0527,0.0,0.197,0.417,160.015,208187,4,137,8,821
